P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+
NA18486	NA12383	AltaiNeandertal	Ancestor	2388	2258	8989	8683	15254	0	15719	0	0.027981058975462762	0.017315527387958354	0.019535800698987364	0.008522354792185657	0.019466887206565302	0.014076776547315404
NA18486	NA12399	AltaiNeandertal	Ancestor	2357	2262	8961	8864	15254	0	15719	0	0.020567222342498376	0.00544179523141655	0.008554624844056318	0.006227874655827979	0.006170876009924295	0.006198947470377425
NA18486	NA12400	AltaiNeandertal	Ancestor	2297	2239	8832	8531	15254	0	15719	0	0.012786596119929453	0.01733571387433047	0.01639344262295082	0.0038022813688212928	0.019148800814301165	0.011590740322216124
NA18486	NA12413	AltaiNeandertal	Ancestor	2554	2210	9137	8532	15254	0	15719	0	0.07220822837951302	0.03424076065425321	0.042303748941291845	0.022551461911629735	0.03848845346396081	0.030639589319730088
NA18486	NA12414	AltaiNeandertal	Ancestor	2403	2286	9056	8744	15254	0	15719	0	0.02495201535508637	0.01752808988764045	0.01907599270754591	0.007670119312967091	0.01984859087728227	0.01385077325412456
NA18486	NA12489	AltaiNeandertal	Ancestor	2364	2247	8978	8648	15254	0	15719	0	0.025374105400130124	0.01872234199478044	0.020101632414444393	0.007670119312967091	0.02099370188943317	0.014431924579472444
NA18486	NA12546	AltaiNeandertal	Ancestor	2439	2231	8925	8527	15254	0	15719	0	0.04453961456102784	0.02280540912216365	0.027393544887442365	0.01363576766749705	0.025319676824225458	0.01956542795337875
NA18486	NA12716	AltaiNeandertal	Ancestor	2319	2323	8994	8697	15254	0	15719	0	-0.0008616975441619991	0.016788197388502627	0.013119598799982089	-0.0002622263012980202	0.018894331700489854	0.009459852129273884
NA18486	NA12717	AltaiNeandertal	Ancestor	2105	2222	8787	8672	15254	0	15719	0	-0.027039519297434714	0.006586860644939573	-9.180207472688883e-05	-0.007670119312967091	0.007315987022075195	-6.457236948309819e-05
NA18486	NA12718	AltaiNeandertal	Ancestor	2330	2171	8989	8658	15254	0	15719	0	0.03532548322594979	0.018756729189097297	0.022123893805309734	0.010423495476596302	0.021057319167885998	0.015820230523359055
NA18486	NA12748	AltaiNeandertal	Ancestor	2422	2159	9138	8711	15254	0	15719	0	0.05741104562322637	0.023922908846433975	0.030762371823450735	0.017241379310344827	0.027164577899357466	0.022277467471668873
NA18486	NA12749	AltaiNeandertal	Ancestor	2328	2282	9021	8775	15254	0	15719	0	0.009978308026030369	0.013823331085637222	0.013032223511559403	0.003015602464927232	0.015649850499395636	0.009427565944532335
NA18486	NA12750	AltaiNeandertal	Ancestor	2435	2315	9142	8756	15254	0	15719	0	0.02526315789473684	0.021566655492233768	0.02234192864712116	0.007866789038940605	0.024556269482791528	0.01633680947922384
NA18486	NA12751	AltaiNeandertal	Ancestor	2257	2282	9086	8805	15254	0	15719	0	-0.0055078211059704785	0.01570622100497457	0.011413285777975925	-0.0016389143831126263	0.01787645524524461	0.008265263293836568
NA18486	NA12760	AltaiNeandertal	Ancestor	2301	2253	8954	8777	15254	0	15719	0	0.010540184453227932	0.009982516496531499	0.01009647745120036	0.0031467156155762423	0.011260258286150519	0.007264391566848546
NA18486	NA12761	AltaiNeandertal	Ancestor	2313	2217	8830	8470	15254	0	15719	0	0.02119205298013245	0.020809248554913295	0.020888685295464955	0.006293431231152485	0.022902220243018002	0.014722500242146386
NA18486	NA12762	AltaiNeandertal	Ancestor	2419	2298	9156	8765	15254	0	15719	0	0.02565189739241043	0.02181797890742704	0.022616838943369556	0.007932345614265111	0.024874355875055664	0.016530526587673136
NA18486	NA12763	AltaiNeandertal	Ancestor	2253	2324	9026	8853	15254	0	15719	0	-0.01551234433034739	0.009676156384585268	0.004542215888849305	-0.004654516848039858	0.011005789172339207	0.003293190843638007
NA18486	NA12775	AltaiNeandertal	Ancestor	2383	2184	9037	8688	15254	0	15719	0	0.04357346179111014	0.019689703808180536	0.024582809976673246	0.013045758489576505	0.022202430180036897	0.0176928292383689
NA18486	NA12776	AltaiNeandertal	Ancestor	2324	2239	9043	8678	15254	0	15719	0	0.018628095551172473	0.02059703177021613	0.020193861066235864	0.005572308902582929	0.023220306635282142	0.014528783133697092
NA18486	NA12777	AltaiNeandertal	Ancestor	2293	2203	8912	8648	15254	0	15719	0	0.02001779359430605	0.015034168564920273	0.016050054406964092	0.005900091779205454	0.016794961511546535	0.011429309398508378
NA18486	NA12778	AltaiNeandertal	Ancestor	2302	2267	9112	8702	15254	0	15719	0	0.007660319544758153	0.023015605703379363	0.019881159808783452	0.0022944801363576767	0.026083084165659392	0.014367352209989345
NA18486	NA12812	AltaiNeandertal	Ancestor	2416	2280	9085	8914	15254	0	15719	0	0.028960817717206135	0.009500527807100395	0.013527208636263494	0.008915694244132686	0.010878554615433552	0.00991185871565557
NA18486	NA12813	AltaiNeandertal	Ancestor	2475	2304	9263	8966	15254	0	15719	0	0.035781544256120526	0.016292720390586428	0.02034075104311544	0.011210174380490363	0.018894331700489854	0.015109934459044974
NA18486	NA12814	AltaiNeandertal	Ancestor	2373	2159	8957	8617	15254	0	15719	0	0.047219770520741396	0.01934676226243314	0.025061069392924996	0.01402910711944408	0.02162987467396145	0.017886546346818195
NA18486	NA12815	AltaiNeandertal	Ancestor	2353	2273	9141	8861	15254	0	15719	0	0.01729355814958928	0.015553827352516387	0.01590949266395616	0.005244526025960404	0.01781283796679178	0.011623026506957674
