P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+	BS_REP
NA18486	NA12874	AltaiNeandertal	Ancestor	1632	1781	6695	6801	12045	0	12215	0	-0.04365660709053618	-0.007854179016004742	-0.015080726240463659	-0.01237027812370278	-0.008677855096193204	-0.010511129431162407	32
NA18486	NA12878	AltaiNeandertal	Ancestor	1808	1739	7056	6898	12045	0	12215	0	0.01945305892303355	0.011322918159667478	0.012970687389292041	0.00572851805728518	0.01293491608677855	0.009356966199505358	32
NA18486	NA12889	AltaiNeandertal	Ancestor	1720	1764	6837	6878	12045	0	12215	0	-0.012629161882893225	-0.002989427633977397	-0.004942147799290656	-0.0036529680365296802	-0.0033565288579615227	-0.003503709810387469	32
NA18486	NA12890	AltaiNeandertal	Ancestor	1827	1672	6789	6748	12045	0	12215	0	0.04429837096313232	0.0030287360567333972	0.01150504813336464	0.012868410128684102	0.0033565288579615227	0.00807914262159934	32
NA18486	NA12829	AltaiNeandertal	Ancestor	939	913	3735	3605	6236	0	6479	0	0.014038876889848811	0.017711171662125342	0.016971279373368148	0.004169339320076972	0.020064824818644852	0.012268973653165552	33
NA18486	NA12830	AltaiNeandertal	Ancestor	1060	856	3662	3513	6236	0	6479	0	0.10647181628392484	0.020766550522648083	0.03882961170388296	0.0327132777421424	0.022997376138292946	0.027762485253637437	33
NA18486	NA12842	AltaiNeandertal	Ancestor	823	919	3490	3556	6236	0	6479	0	-0.05510907003444317	-0.009367016747090548	-0.018434228493400092	-0.015394483643361129	-0.010186757215619695	-0.012740857255210382	33
NA18486	NA12843	AltaiNeandertal	Ancestor	895	922	3525	3479	6236	0	6479	0	-0.014859658778205834	0.0065676756139348945	0.0021539507992291125	-0.0043296985246953175	0.007099861089674332	0.0014942980731419582	33
NA18486	NA12872	AltaiNeandertal	Ancestor	925	854	3612	3588	6236	0	6479	0	0.039910061832490164	0.0033333333333333335	0.010580242788729257	0.011385503527902501	0.0037042753511344344	0.007471490365709791	33
NA18486	NA12873	AltaiNeandertal	Ancestor	901	887	3649	3569	6236	0	6479	0	0.007829977628635347	0.011083402604599613	0.010437486120364202	0.0022450288646568314	0.012347584503781447	0.00739284309870232	33
NA18486	NA12874	AltaiNeandertal	Ancestor	786	938	3411	3539	6236	0	6479	0	-0.08816705336426914	-0.01841726618705036	-0.032280378141572516	-0.024374599101988453	-0.019756135206050317	-0.02202123476209202	33
NA18486	NA12878	AltaiNeandertal	Ancestor	966	895	3690	3534	6236	0	6479	0	0.03815153143471252	0.02159468438538206	0.024986241056686846	0.011385503527902501	0.024077789782373824	0.01785292961069603	33
