P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+	BS_REP
YRI	CEU	NEA	ANC	1525.128355312385	1501.8920337635677	5870.213535819852	5710.723426393448	9374.184027777743	82.4780092592592	9990.491898145428	571.0219907407409	0.0076763016306971915	0.013771779429142414	0.012508691433104074	0.0025007594410011587	0.01693196230724494	0.009765630535388503	16
YRI	CEU	NEA	ANC	2908.276830808056	2952.15351430974	11612.87901000277	11411.154683409795	18782.895833333274	155.53009259259244	19949.168981480456	943.4699074074077	-0.007486938828346765	0.00876146765936549	0.005464793907227464	-0.002355495893105247	0.010613886172077789	0.0041943871398206455	17
YRI	CEU	NEA	ANC	2254.710800130924	2445.337273194899	9771.92687289199	9718.829019358425	15578.431712962984	121.40162037037035	16743.99421295675	867.0983796296309	-0.0405584092098626	0.002724258301068618	-0.0056851611763757155	-0.012332671407253576	0.0033443472887255345	-0.004389128252091919	18
YRI	CEU	NEA	ANC	1948.9344720351469	1819.7454989711778	7535.448711650255	7357.734065187236	11712.47453703703	143.497685185185	12776.80787036402	808.502314814815	0.03427963479463943	0.011932617031962302	0.01644549762656717	0.011166845151331584	0.014848772504861373	0.013039042240088226	19
YRI	CEU	NEA	ANC	2779.50986719039	2789.4231668537104	11247.478862697588	11149.189721287205	17717.960648148037	221.74768518518505	19332.34953703349	1309.2523148148143	-0.0017801075363481785	0.004388560782681181	0.0031601623649708593	-0.0005665968792392596	0.005453510026523828	0.0024881069279305153	20
YRI	CEU	NEA	ANC	1815.8720772540094	1856.0924055368494	7509.022516832453	7416.266835015573	11573.079861111057	149.3229166666665	12855.253472217402	804.1770833333337	-0.010953354388730562	0.006214665567297402	0.002824898450124349	-0.003520761906826106	0.007696879417546343	0.002237943621923538	21
YRI	CEU	NEA	ANC	1818.198770108477	1875.5588290310523	7560.9145389049945	7491.07299850222	11789.690972222164	150.8136574074073	12955.09606480993	812.4363425925942	-0.015528918014527385	0.004640021142005623	0.0006658301064738922	-0.004928315452690911	0.005751749781391475	0.0005248391414214931	22
YRI	CEU	NEA	ANC	1460.6124789562102	1437.6261574074065	6140.590780487821	6024.225671061292	9621.994212963007	119.92708333333313	10600.306712958853	624.5729166666669	0.007931134883235285	0.00956571025054064	0.009251206356348941	0.002419086419325223	0.011664817025267829	0.007154371866994383	23
YRI	CEU	NEA	ANC	1842.9152169846298	1897.6058735503088	7428.757248406984	7360.418022819183	12095.731481481444	112.55092592592575	12888.106481474751	639.6990740740746	-0.014621133056586424	0.00462089496773782	0.000736578126033864	-0.004563951641396572	0.005579437661953503	0.0005632552453016128	24
YRI	CEU	NEA	ANC	685.1203937523381	696.8487186681612	2923.4116863070235	2903.7233445563925	4476.047453703735	64.56365740740733	5028.281249998923	341.4363425925924	-0.008486676590970268	0.0033787344289006073	0.0011041617205965405	-0.0026585895942017406	0.0042007666435726855	0.0008748878056657377	25
