P1,P2,P3,P4,ABBA,BABA,BAAA,ABAA,ABBA_HOM,BABA_HOM,BAAA_HOM,ABAA_HOM,N_SEG,D,D_SE,D_Z,D_BLOCKS,Danc,Danc_SE,Danc_Z,Danc_BLOCKS,D+,D+_SE,D+_Z,D+_BLOCKS,fhom,fhom_SE,fhom_Z,fhom_BLOCKS,fanc,fanc_SE,fanc_Z,fanc_BLOCKS,f+,f+_SE,f+_Z,f+_BLOCKS
ind_1,ind_9,ind_10,ancestor,10202.75,7836.5,39643.75,36917.0,80728.625,207.875,85165.875,4430.625,273543,0.13117230483528972,0.013302682809451672,9.860590281991136,100,0.03561550794630408,0.0037260114528189746,9.558614727112175,100,0.05383720930232558,0.0055433750454407585,9.711991135545643,100,0.029386835070463205,0.005423126728845697,5.418799253602938,100,0.033773971096887664,0.003411598296870885,9.899750251330914,100,0.031583320930694055,0.005404819702434832,5.8435475500627705,100
ind_2,ind_5,ind_10,ancestor,10062.625,7540.625,39020.125,36462.625,80851.875,206.625,84906.125,4431.875,270675,0.14326899862241346,0.014527759304662541,9.861740934572937,100,0.033881913417303955,0.003545131545105332,9.557307813890237,100,0.0545678190060804,0.005617996628068498,9.713038760730113,100,0.03127276559995784,0.004932582022988516,6.340039649459398,100,0.031780352100205966,0.0032101782365020317,9.899871520789887,100,0.03152628949320225,0.004982180565489177,6.327809496022717,100
ind_2,ind_6,ind_10,ancestor,10072.125,7669.875,39289.375,36591.625,80851.875,206.625,84906.125,4431.875,270681,0.13539905309435238,0.013729650009427127,9.861799317636207,100,0.035552378065655435,0.0037190475372608613,9.559538486523444,100,0.054473793832712045,0.005608038453172824,9.713520028004222,100,0.029787867233346043,0.005252820989395815,5.670832357219216,100,0.033523145602475324,0.003386102196071963,9.900216727470228,100,0.03165352424753056,0.005203725980640761,6.08285762265155,100
ind_2,ind_7,ind_10,ancestor,10109.0,7543.0,39210.75,36281.25,80851.875,206.625,84906.125,4431.875,269772,0.1453659641966916,0.014739416480661904,9.862396139454473,100,0.038805436337625177,0.004057091318559558,9.564841727891592,100,0.059000042944258355,0.006072585440401168,9.715802852559072,100,0.0318183649997985,0.005197476010771333,6.12188780359113,100,0.036402948769326836,0.0036770248955444312,9.90010941003893,100,0.03410822402005965,0.005109542640754887,6.675396687759215,100
ind_2,ind_8,ind_10,ancestor,10272.75,7361.25,39330.5,36459.5,80851.875,206.625,84906.125,4431.875,270765,0.1651071793126914,0.016737565527211958,9.864467986354402,100,0.03788098693759071,0.00395755862100143,9.571806905542493,100,0.06189523034766227,0.006367093779050279,9.721111781220634,100,0.036102560287183685,0.005024779843243883,7.184903898968974,100,0.03567600816410218,0.0036034213252971624,9.900593059614003,100,0.035889510580655974,0.005138895767161989,6.983895413873386,100
ind_2,ind_9,ind_10,ancestor,9983.75,7493.0,39114.0,36648.25,80851.875,206.625,84906.125,4431.875,271554,0.14251791666070637,0.014452465473279986,9.861149083815244,100,0.03254589191846863,0.0034093856221814227,9.54596972156081,100,0.05315908579028089,0.005475772985465501,9.708051435182313,100,0.03088526602620737,0.005444268535574506,5.672987257038049,100,0.030640235851840805,0.003095117897762967,9.899537550406851,100,0.030762880967232394,0.0054986182535465685,5.5946566116661325,100
ind_3,ind_5,ind_10,ancestor,10131.25,7726.5,39145.25,36828.0,80738.0,210.0,84662.5,4428.5,270320,0.1346614215116686,0.013656424147606233,9.860664845802459,100,0.03050086708150566,0.0031939639924897048,9.549533793500954,100,0.0503245196150526,0.0051823870173690586,9.710683406389212,100,0.02986228392608782,0.0048244897980632695,6.189728899017603,100,0.028881147643143805,0.0029173990365097893,9.899621985786206,100,0.02937261293091651,0.00502103703545297,5.849909634906064,100
ind_3,ind_6,ind_10,ancestor,9970.75,7685.75,39078.75,36621.25,80738.0,210.0,84662.5,4428.5,269987,0.12941409679154986,0.013124027322741502,9.860852435692454,100,0.032463672391017176,0.0033992744202248214,9.550177001852676,100,0.05079989074140526,0.0052318212366416145,9.709790996990272,100,0.028375223524736738,0.005269805529853664,5.384491583985393,100,0.030629159707854525,0.0030937644295995453,9.900288274960593,100,0.0295001306278847,0.005427200742451898,5.435607051925104,100
ind_3,ind_7,ind_10,ancestor,10066.75,7618.0,38978.5,36289.25,80738.0,210.0,84662.5,4428.5,269019,0.13846675808252873,0.014041792623837673,9.861045650785666,100,0.03572911373064825,0.003738146916716597,9.557974720274219,100,0.05527554396062505,0.005691072623969287,9.712675907142554,100,0.030408677727001787,0.005200177482985473,5.847623052577787,100,0.03351758606077224,0.0033856550981105453,9.89988202858514,100,0.03196028912305147,0.005277170813172819,6.056330229689084,100
ind_3,ind_8,ind_10,ancestor,10305.625,7511.375,39239.375,36608.625,80738.0,210.0,84662.5,4428.5,270151,0.15683055508783747,0.015900512171143334,9.863239208888986,100,0.03468450058010759,0.0036250194416468295,9.568086775377562,100,0.057919180056584633,0.00595905340210457,9.719526936296495,100,0.03469911086826942,0.004871083262134963,7.123489581465506,100,0.03278846872896777,0.0033118193515076274,9.900439984457966,100,0.033745536880606115,0.005083985793617928,6.6376143149274425,100
ind_3,ind_9,ind_10,ancestor,10037.75,7664.25,39043.25,36817.75,80738.0,210.0,84662.5,4428.5,270916,0.13408089481414528,0.013597482913385276,9.860714344576003,100,0.02933654974229182,0.0030744437144391767,9.542067595679901,100,0.04915404593696226,0.005063231908828559,9.708037637236066,100,0.029474220147029606,0.005537741087881595,5.322426541668574,100,0.027737617468903457,0.002801832283535672,9.899813644056154,100,0.028607506749107375,0.005661515206145933,5.05297711080103,100
ind_4,ind_5,ind_10,ancestor,10004.125,7548.625,39241.375,36533.875,80789.375,210.625,85052.125,4427.875,271433,0.13989260942017634,0.014186750432342304,9.86079300452453,100,0.035730664036080384,0.003741236577621201,9.55049575047165,100,0.05532101834390537,0.00569782677511688,9.709143595852924,100,0.030473294758233405,0.005107618323646063,5.966243526293897,100,0.03358170773681616,0.00339223876255695,9.8995707812452,100,0.0320279399266763,0.005315407409429225,6.02549107898307,100
ind_4,ind_6,ind_10,ancestor,10005.5,7669.75,39279.0,36431.25,80789.375,210.625,85052.125,4427.875,271370,0.13214806014059208,0.013401706247724389,9.860539971395868,100,0.0376137973391978,0.003935801060586252,9.556833986318171,100,0.05550647584475106,0.0057159935304819404,9.710731047673363,100,0.02898717093526519,0.005485243874117254,5.284572865036037,100,0.03532125880240746,0.0035677928700168435,9.900030660199372,100,0.03215510877589127,0.005494711720755077,5.852010152676863,100
ind_4,ind_7,ind_10,ancestor,10148.125,7648.625,39349.875,36270.375,80789.375,210.625,85052.125,4427.875,270796,0.14044699172601738,0.014242253728852185,9.861289821111502,100,0.04072321897904331,0.0042575812093785465,9.564871925246832,100,0.05972146397336673,0.006147455319726759,9.714826845788481,100,0.031019344430138217,0.005195359371434591,5.970586866558351,100,0.03819570414608508,0.003858222092615659,9.89981997645722,100,0.03460853706196535,0.005170735992757977,6.693154922323889,100
ind_4,ind_8,ind_10,ancestor,10301.25,7456.25,39514.25,36493.25,80789.375,210.625,85052.125,4427.875,271786,0.16021399408700548,0.016242790613557042,9.863698787896885,100,0.039746077689701675,0.004151099407647365,9.574831577504371,100,0.06256065696155282,0.006435566672529919,9.721079765763545,100,0.03530707537657261,0.0049449377806488806,7.140044413650756,100,0.03747011600107908,0.00378463133548017,9.900598679137953,100,0.036388900950974856,0.004980982771127791,7.305566516291263,100
ind_4,ind_9,ind_10,ancestor,10022.75,7598.5,39198.5,36582.75,80789.375,210.625,85052.125,4427.875,272135,0.1375753706462368,0.01395181195967521,9.860752929000876,100,0.03451711340206186,0.0036143545062820026,9.550007710109423,100,0.0539600117769867,0.005557656633289122,9.709130185153628,100,0.03008547538898283,0.005499791065351334,5.470294240543287,100,0.03244371265469136,0.003277273075881385,9.899606137021706,100,0.031264926831386514,0.00558780831887762,5.595203888036456,100
