P1,P2,P3,P4,ABBA,BABA,BAAA,ABAA,ABBA_HOM,BABA_HOM,BAAA_HOM,ABAA_HOM,N_SEG,D,D_SE,D_Z,D_BLOCKS,Danc,Danc_SE,Danc_Z,Danc_BLOCKS,D+,D+_SE,D+_Z,D+_BLOCKS,fhom,fhom_SE,fhom_Z,fhom_BLOCKS,fanc,fanc_SE,fanc_Z,fanc_BLOCKS,f+,f+_SE,f+_Z,f+_BLOCKS
AFR,JP14_2X,Altai,Chimp,2567.3279182363012,2572.6889764554794,6801.115652825342,9226.493752140412,6348.062500000001,71.98030821917808,12583.262842465752,104.5196917808219,59509,-0.0010430040073826743,0.000744552931689714,-1.4008460150920972,36,-0.15132500662036513,0.02833325593136782,-5.340897177046032,36,-0.11483286425807575,0.02074127122106775,-5.53644292262257,36,-0.0008542045905961899,0.021022646663412848,-0.04063259038086868,36,-0.19436076774943042,0.0339266585784016,-5.728850876966836,36,-0.12960606740657982,0.014377165424701813,-9.0147162933731,36
AFR,JP14_2X,Vindija,EPO,2576.608939212329,2626.173360445205,6912.873727739727,9380.4910119863,6525.572773972602,108.36044520547945,12700.732020547946,155.13955479452054,60446,-0.009526522229488377,0.00177650643558618,-5.3625036412237845,36,-0.15144921406135944,0.028412355082921868,-5.330399877776859,36,-0.11709920391164358,0.02117681722438876,-5.5295941156248745,36,-0.00772366857968661,0.018766408814193815,-0.41156881192127065,36,-0.1966919689909105,0.03431725770927999,-5.731575951003845,36,-0.13274311119876153,0.013855621761922026,-9.580451421066192,36
AFR,JP14_2X,Vindija,Chimp,2561.1454640410957,2598.584696917808,6769.832981164383,9224.080008561645,6364.282106164383,107.14083904109587,12549.195633561645,149.1091609589041,59480,-0.007256044736601942,0.0014076024109112386,-5.154896496592814,36,-0.15344881699517748,0.02874426858356188,-5.338414388562003,36,-0.1177899354037886,0.02128795986357233,-5.533171621830665,36,-0.005983440564691739,0.018240251672269073,-0.32803497847502033,36,-0.19792176714410623,0.03454369868970642,-5.729605533037039,36,-0.13355072334613433,0.013639969920261575,-9.791130341698965,36
AFR,JP14_2X,Chagyrskaya,EPO,2580.879988013699,2644.0956866438355,6894.868326198628,9375.560572773971,6596.067208904109,91.39340753424656,12708.13484589041,128.60659246575347,60442,-0.012098754628992596,0.0021995522596864377,-5.500553385677393,36,-0.1524663093996242,0.02858257349087668,-5.334240090322524,36,-0.11834659526837953,0.021391117485777073,-5.532511115750172,36,-0.009718504041943432,0.019864744352091974,-0.48923378371692805,36,-0.19720073730904802,0.03439369959022343,-5.7336296955126995,36,-0.13329915172253035,0.014241017278731775,-9.360226809190502,36
AFR,JP14_2X,Chagyrskaya,Chimp,2563.3409717465756,2613.288327910959,6756.480042808219,9222.004659246575,6425.737157534246,90.92551369863013,12566.113869863013,125.8244863013699,59481,-0.009648625248805798,0.0017917497605920622,-5.3850294617131835,36,-0.15430278042080522,0.02888666237234771,-5.341661782584977,36,-0.11890609393072206,0.02147901248568614,-5.535919959540153,36,-0.007884584258000342,0.019909171001384462,-0.3960277531119732,36,-0.19818868680790114,0.03457920953256624,-5.731440639822887,36,-0.1339791444494535,0.013989284465922461,-9.57726928606129,36
AFR,JP14_2X,Denisova,EPO,2365.9824661815064,2628.379524400685,6910.147687071917,9591.373334332193,6194.25299657534,71.98330479452055,12885.426797945207,88.51669520547946,60340,-0.052538654329417386,0.009157212866070654,-5.737406686709647,36,-0.16248354583692376,0.030781646181510684,-5.2785853257751105,36,-0.13693890610765155,0.024876645041883284,-5.5047176127285615,36,-0.042859441257781926,0.021669733306654802,-1.9778481189069244,36,-0.2095213317694749,0.03662487133424777,-5.7207390534517,36,-0.15558934041802377,0.01410869242390417,-11.027906466683676,36
AFR,JP14_2X,Denisova,Chimp,2360.808538099315,2603.8557812500007,6763.937889126713,9425.148104880134,6058.826198630137,70.89469178082192,12727.762842465754,84.6053082191781,59375,-0.048955423270699704,0.008541390467791727,-5.731551959286149,36,-0.16438298102428964,0.031077394609722173,-5.2894711119980595,36,-0.13729279280896126,0.024920155082267196,-5.509307319947488,36,-0.04058951624157284,0.02200238442935466,-1.8447780681179267,36,-0.21048620240197033,0.03680410923915682,-5.719095143268099,36,-0.15588232402829397,0.014077567802387,-11.073100567973288,36
AFR,KK1_2X,Altai,EPO,2614.6040295376715,2619.7334987157537,7000.509264982877,9390.262241010274,6512.774400684932,71.52011986301369,12728.427654109584,107.9798801369863,60566,-0.0009799653060955358,0.0006921835394273094,-1.4157593330033935,36,-0.14579868770384627,0.027365021190294086,-5.3279216080255996,36,-0.1107454506431772,0.020061616733595012,-5.52026549573763,36,-0.0007963463254904581,0.01861481006358478,-0.04278025522529024,36,-0.18935564084784953,0.03305789440923171,-5.728000655570196,36,-0.12563843660556556,0.013441941498976567,-9.346747760740614,36
AFR,KK1_2X,Altai,Chimp,2611.011217037672,2592.0377752568493,6861.705921660959,9221.85852097603,6348.062500000001,71.98030821917808,12583.262842465752,104.5196917808219,59602,0.003646600639148597,0.0009156213620944335,3.982651333961015,36,-0.1467431307116466,0.027482593444896012,-5.339493560019144,36,-0.10998363664989347,0.019898742948647435,-5.527165054281447,36,0.0030231346883363556,0.01969548642769628,0.1534937814018723,36,-0.18913383910666737,0.03303079120265198,-5.725985730898331,36,-0.1248307630054659,0.01351415478115583,-9.23703812979338,36
AFR,KK1_2X,Vindija,EPO,2584.357495719178,2653.6224169520547,6961.336404965752,9416.077189212327,6525.572773972601,108.36044520547945,12700.732020547945,155.13955479452054,60545,-0.013223594283994347,0.002439460400096085,-5.420704629381768,36,-0.14988574173392052,0.028173229742768122,-5.320147640239763,36,-0.1167688991958284,0.021174263251586372,-5.514661729119671,36,-0.010793615308998783,0.019670106940022417,-0.5487319078594944,36,-0.19566559259337105,0.03415376427585375,-5.7289612650897155,36,-0.13310297357534276,0.014224824303204306,-9.357090867221451,36
AFR,KK1_2X,Vindija,Chimp,2579.62025,2626.5632328767124,6821.128359589041,9248.2941369863,6364.282106164383,107.14083904109587,12549.195633561645,149.10916095890408,59579,-0.009016774577981985,0.0017500505301013623,-5.15229384688666,36,-0.15104250186430335,0.02832993714546661,-5.331550899274528,36,-0.11628852135461908,0.021061751696542903,-5.521312900754916,36,-0.007502305105905725,0.02054859586116126,-0.36510062082080136,36,-0.1957378105999453,0.03417751110910659,-5.727093759843472,36,-0.13260859516689927,0.014290956857955398,-9.279196381667024,36
AFR,KK1_2X,Chagyrskaya,EPO,2587.778984589041,2665.773933219178,6947.86182020548,9412.753816780823,6596.067208904109,91.39340753424656,12708.13484589041,128.60659246575347,60542,-0.014846133626208246,0.002698986249198863,-5.50063329541416,36,-0.15066010052842893,0.028294726536749044,-5.324670670796284,36,-0.1176490753627166,0.021317509883259863,-5.518893904916335,36,-0.011990601068067638,0.019501766634152828,-0.6148469158208917,36,-0.19594470849129814,0.034188175273094715,-5.731359071553081,36,-0.1332456519745677,0.014066754484094722,-9.472380578279699,36
AFR,KK1_2X,Chagyrskaya,Chimp,2580.4190505136985,2635.2841566780826,6812.307683219177,9248.559049657533,6425.737157534246,90.92551369863013,12566.113869863013,125.8244863013699,59581,-0.01051921552758834,0.001978875854813609,-5.315753134286005,36,-0.15168866082745905,0.028430803495067766,-5.335363133643912,36,-0.11708261621209048,0.02119005789577487,-5.525356126348094,36,-0.008660889896824816,0.020343575125954323,-0.42573096632239715,36,-0.19583558640183815,0.034181397740950005,-5.729303052087398,36,-0.13268192107023122,0.014205375841021807,-9.340261219071502,36
AFR,KK1_2X,Denisova,EPO,2396.8356297089044,2635.502437928082,6979.162401969177,9600.587299229452,6194.25299657534,71.98330479452055,12885.426797945207,88.51669520547948,60444,-0.047426624565238606,0.008314552561066921,-5.704050123793172,36,-0.15811004053159858,0.02996318484473777,-5.276810237325835,36,-0.13233759440879525,0.02407223790051151,-5.497519381277933,36,-0.0389833869193298,0.020947524334374544,-1.8610021068388833,36,-0.20484827010694134,0.035818279027054235,-5.719098618674993,36,-0.15117419129912832,0.015538040106510154,-9.72929598989702,36
AFR,KK1_2X,Denisova,Chimp,2397.045408818493,2608.1276519691787,6839.834074914384,9427.76029066781,6058.826198630138,70.89469178082192,12727.762842465754,84.6053082191781,59478,-0.04217281612186003,0.007396418621094518,-5.7017887010320845,36,-0.15908475202878022,0.030075150462665172,-5.289574601672087,36,-0.13157707235751762,0.023903265223442084,-5.50456480014618,36,-0.03525127882796232,0.02125674029520209,-1.658357694472984,36,-0.2046898655453354,0.03580022452874082,-5.717558150536404,36,-0.1502332178612932,0.015539563431697778,-9.667788836000746,36
AFR,Kolyma1_2X,Altai,EPO,2540.3643189212335,2595.209538099315,6925.584189640413,9567.99791566781,6512.774400684932,71.5201198630137,12728.427654109584,107.97988013698627,60661,-0.010679472383228576,0.001975264278496171,-5.406604320997079,36,-0.16020860169465392,0.030182254843877595,-5.308039525984981,36,-0.12470477118493484,0.02262564162335525,-5.511656785733259,36,-0.008514680027673622,0.01642586470943744,-0.5183702762863701,36,-0.20937559216218138,0.03655111884941352,-5.728295022234071,36,-0.1415014743936283,0.011497238178813204,-12.307431766907584,36
AFR,Kolyma1_2X,Altai,Chimp,2543.4780149828766,2535.231073202055,6793.79025984589,9439.99485916096,6348.062500000001,71.98030821917808,12583.262842465752,104.5196917808219,59699,0.001623826377456264,0.0005888303222476176,2.7577152807925627,36,-0.16300601368788833,0.030638023238216735,-5.320382859575636,36,-0.12377517299894833,0.022423934538790213,-5.519779447484335,36,0.001314027052039211,0.015096109644208062,0.08704408506620545,36,-0.21205698100852605,0.03703072769467338,-5.726514011741362,36,-0.1406548773110263,0.011242827575502597,-12.51063189988827,36
AFR,Kolyma1_2X,Vindija,EPO,2518.540207619863,2623.9606288527393,6890.227823202056,9584.46660744863,6525.572773972601,108.36044520547945,12700.732020547946,155.13955479452054,60638,-0.020499835505167843,0.003661932668066097,-5.5980918720698405,36,-0.16353801253114728,0.03084486409798518,-5.301952766322279,36,-0.1295107515514438,0.023518691137312014,-5.50671594755446,36,-0.016427759567857376,0.017862779739944823,-0.9196642295891692,36,-0.21475580301219133,0.03748389383327951,-5.7292821276087285,36,-0.1476395098624036,0.01290254769120853,-11.442663371281427,36
AFR,Kolyma1_2X,Vindija,Chimp,2518.1441018835617,2569.4830847602743,6753.540351027396,9458.368628424656,6364.282106164383,107.14083904109589,12549.195633561643,149.10916095890408,59674,-0.010090948293438047,0.0018840726443959145,-5.355923150550006,36,-0.16684205918164985,0.03140146223387115,-5.313193950620741,36,-0.12940034180937593,0.02346926179574934,-5.513609372784465,36,-0.008204862362060058,0.01735960416415708,-0.47264109737023235,36,-0.21812979154406853,0.0380845558090503,-5.727513080045766,36,-0.14772651643230922,0.012746855539321873,-11.589251637519396,36
AFR,Kolyma1_2X,Chagyrskaya,EPO,2519.582161386986,2640.3201100171236,6872.480431934932,9583.341428510274,6596.067208904109,91.39340753424656,12708.13484589041,128.60659246575347,60639,-0.02339927042790334,0.0041528525487156045,-5.634505476275645,36,-0.16473567954034718,0.031056427149419485,-5.304398949298534,36,-0.13099718186323947,0.023780447655320613,-5.5086087428606625,36,-0.018561722281094317,0.016395988585047094,-1.1320892415125454,36,-0.21549782646557794,0.03760121088307696,-5.731140604372564,36,-0.14837397639552327,0.012434284453547108,-11.932650965950588,36
AFR,Kolyma1_2X,Chagyrskaya,Chimp,2518.4839113869866,2581.028017551369,6741.69875984589,9458.59312628425,6425.737157534246,90.92551369863013,12566.113869863013,125.8244863013699,59680,-0.012264723964946805,0.0022312896864940908,-5.496697286410052,36,-0.16770650711327154,0.03155087464571513,-5.315431315183761,36,-0.13049127103398178,0.023658219324481516,-5.515684390454081,36,-0.009873080634566905,0.01575792804499939,-0.62654687890265,36,-0.21839478831002204,0.03811973579938552,-5.729178960194748,36,-0.1480385361733549,0.01224079624867356,-12.093864906002068,36
AFR,Kolyma1_2X,Denisova,EPO,2457.2062435787675,2505.2950517979452,7006.889008133561,9643.192405393835,6194.252996575339,71.98330479452055,12885.426797945207,88.51669520547946,60510,-0.009690437413886302,0.0018417667496801182,-5.261490042411373,36,-0.15833576616138362,0.02992158922208964,-5.291689722298978,36,-0.12420506339455283,0.022539959617578136,-5.51043859447244,36,-0.007854735357989412,0.01925602249314762,-0.40791058282075493,36,-0.2060109335843392,0.03601951496421449,-5.719425533325803,36,-0.14188734578530282,0.01411523861343954,-10.052068524736638,36
AFR,Kolyma1_2X,Denisova,Chimp,2455.095908390411,2448.488901541095,6872.422943493149,9519.117909246574,6058.826198630138,70.89469178082192,12727.762842465754,84.6053082191781,59547,0.0013473830076180901,0.0007905219863758803,1.704421927333254,36,-0.16146712438635988,0.03046483872520836,-5.300114201909518,36,-0.12397616246669942,0.022481870369270327,-5.514495032235309,36,0.0011033871783200002,0.018877951066073678,0.05844846055899263,36,-0.2093381308098321,0.0366131448987649,-5.7175675946070905,36,-0.14170336221788657,0.014106065411447457,-10.045562535311259,36
AFR,LBK_2X,Altai,EPO,2509.039295804795,2674.8645149828767,6961.478245291095,9539.036471318492,6512.774400684932,71.5201198630137,12728.427654109584,107.97988013698627,60533,-0.031988483048817455,0.0056778998875524015,-5.633858236730355,36,-0.15621077707550546,0.029500310385648116,-5.295224864871317,36,-0.12651404240973033,0.023007538420575308,-5.498808264363938,36,-0.02574424358184505,0.017456190950424874,-1.4747915885520517,36,-0.20423666990193065,0.035661255478002835,-5.7271306678451435,36,-0.14392122158448312,0.015489230232882071,-9.291696192813566,36
AFR,LBK_2X,Altai,Chimp,2509.2159105308215,2641.87246875,6815.828524400684,9374.999623715752,6348.062500000001,71.98030821917808,12583.262842465752,104.5196917808219,59567,-0.025753112439841196,0.004594678710643395,-5.604986564171529,36,-0.1580630141894743,0.029781772972118502,-5.307374223067641,36,-0.12612867518616086,0.022908546284116014,-5.505747663858273,36,-0.021136842088031575,0.018088837646087378,-1.1685019514011439,36,-0.20508244046794097,0.03582336633211334,-5.724823249904847,36,-0.1435272047796284,0.015516805404572264,-9.249790858196619,36
AFR,LBK_2X,Vindija,EPO,2525.5460265410966,2671.857197773972,6958.456447773972,9517.611982020551,6525.572773972602,108.36044520547945,12700.732020547946,155.13955479452054,60509,-0.028150821654241938,0.005013909532006119,-5.614545191639804,36,-0.15532561940679526,0.029308389929039735,-5.299698133635565,36,-0.1248284884238405,0.02269185396777246,-5.501026430062747,36,-0.022799802116098108,0.018095794135597934,-1.2599503478682086,36,-0.2039884159502617,0.03561012093798848,-5.7283831275239825,36,-0.1426722858140279,0.015574827878522692,-9.160440611402809,36
AFR,LBK_2X,Vindija,Chimp,2521.9212071917814,2642.1854400684933,6809.371063356162,9356.663090753425,6364.282106164383,107.14083904109589,12549.195633561645,149.10916095890408,59541,-0.023288487456105508,0.0041718898793945405,-5.5822392559137555,36,-0.15757062017277212,0.0296697505459317,-5.310817154624784,36,-0.12506041498341444,0.02270806878294785,-5.507311792067759,36,-0.019220316074468828,0.018651636137104858,-1.0304895470393967,36,-0.20542534384944447,0.03587447002244317,-5.72622658177054,36,-0.14297709699893213,0.015558626782472232,-9.18957045489418,36
